fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
1.165,0.00049,0.01,0.89691,0.0,3.02023,0.83449,10.99902,0.75282,0.88539,0.00553,0.9,0.36102,0.00709,0.11374,0.3271,0.0005,0.00057,0.00149,0.37723,0.00167,1.0,0.0005,0.00464,0.00526,8
1.13525,0.00081,0.0124,0.88067,0.00082,2.9326,0.89648,10.97843,0.47504,2.44011,0.0,0.9,0.29527,0.00661,0.11451,0.24072,0.00044,0.0004,0.00023,0.5117,0.00097,0.98715,0.00082,0.00473,0.00442,8
1.10407,0.00131,0.01634,0.95716,0.0001,2.78359,0.83946,11.93281,0.61438,1.90884,0.00516,0.77078,0.34256,0.006,0.10603,0.22788,0.00028,0.00043,0.00127,0.62268,0.00111,0.92969,0.00049,0.00496,0.01091,9
1.12368,0.00071,0.01852,0.96389,0.00045,3.74273,0.95,11.3607,0.72682,1.60769,0.00535,0.89882,0.25313,0.01088,0.10077,0.28667,0.00025,0.00056,0.00105,0.64171,0.00167,0.91864,0.00077,0.00489,0.00468,10
1.15974,0.00071,0.01111,0.80178,0.0,3.17042,0.7664,5.81685,0.68285,2.67641,0.00624,0.85537,0.3422,0.00994,0.10431,0.27207,0.00103,0.00027,0.00021,0.35334,0.00254,0.71883,0.00051,0.005,0.0118,10
1.14965,0.00085,0.01,0.95293,1e-05,3.37468,0.87949,7.22012,0.54893,1.53611,0.00965,0.9,0.35458,0.0083,0.10964,0.29162,0.00078,0.0006,3e-05,0.35088,0.00184,0.78196,0.0005,0.00502,0.0046,10
1.11452,0.00032,0.01058,0.98,0.00065,3.9586,0.76016,7.21458,0.61887,1.67454,0.00627,0.9,0.4149,0.00887,0.1571,0.18578,7e-05,0.0005,0.00028,0.51306,0.00259,0.96159,0.0005,0.00429,0.00915,8
1.14713,0.0007,0.01287,0.79287,0.0006,2.77033,0.83074,10.4358,0.76345,1.60775,0.00561,0.84893,0.33772,0.01023,0.11817,0.12149,0.0006,0.00036,0.00056,0.46041,0.00266,0.92437,0.00078,0.00495,0.00557,10
1.13689,0.00021,0.01021,0.90302,0.00068,3.08874,0.81836,5.08862,0.70023,2.45818,0.00411,0.85495,0.41537,0.01044,0.10357,0.41738,0.00086,0.00032,0.00149,0.62617,0.00263,0.97636,0.00051,0.00499,0.00582,9
1.12933,0.00086,0.01805,0.96698,0.001,3.55885,0.95,11.64831,0.58122,1.40356,0.00495,0.89402,0.2836,0.01471,0.11687,0.36112,0.00115,0.0006,0.00126,0.33322,0.00127,1.0,0.00064,0.00353,0.01116,7
1.14899,0.00041,0.01716,0.95994,0.00079,3.76335,0.83836,9.17466,0.67257,1.77043,0.00529,0.9,0.34331,0.00839,0.07683,0.31928,0.00046,0.00015,0.00065,0.53642,0.00263,0.79799,0.00051,0.00389,0.01019,10
1.13027,0.00087,0.01262,0.83349,0.00022,3.99255,0.76341,6.61936,0.73499,1.42094,0.0029,0.9,0.46083,0.00725,0.12007,0.33839,0.00075,0.00053,0.00123,0.4587,0.00215,1.0,0.00052,0.00478,0.01067,5
1.1315,0.00043,0.01341,0.91515,0.00026,3.16011,0.8233,14.4912,0.68644,2.17123,0.00674,0.89544,0.28446,0.0106,0.11835,0.20623,0.00073,0.00055,0.00124,0.51703,0.00174,0.87967,0.00049,0.00491,0.00905,7
1.1233,0.00066,0.01488,0.97567,0.0,2.34224,0.95,5.26201,0.76896,0.89121,0.00166,0.8923,0.35689,0.00723,0.10092,0.18317,0.00028,0.00072,0.00055,0.35942,0.00105,0.84485,0.00055,0.00564,0.01056,7
1.05443,0.00089,0.01,0.98,0.001,3.8285,0.87159,5.59069,0.93638,1.60638,0.00109,0.9,0.35777,0.012,0.12006,0.35046,0.00042,0.00026,7e-05,0.4916,0.00135,0.66284,0.00055,0.00413,0.0103,6
1.1358,0.00075,0.01,0.79358,2e-05,3.24014,0.59048,8.44435,0.57105,1.43252,0.0,0.82921,0.37651,0.00904,0.11098,0.22964,0.0003,0.00069,0.00067,0.55078,0.00195,0.84687,0.00071,0.00615,0.0071,8
1.15028,0.00075,0.01202,0.74263,0.0007,4.79329,0.92721,6.04763,0.6344,1.83052,0.00431,0.9,0.33233,0.01069,0.10767,0.35705,0.00084,0.00033,0.00114,0.42592,0.00102,0.62935,0.00061,0.00446,0.00975,8
1.13863,0.00019,0.01498,0.91478,0.00045,4.30286,0.68158,8.27663,0.64584,1.82556,0.00741,0.82811,0.23286,0.00683,0.11707,0.20692,0.00034,0.00064,0.00047,0.70149,0.00144,0.96307,0.00074,0.00513,0.00757,9
1.14047,0.00042,0.01579,0.89078,0.00078,4.2785,0.67818,7.88832,0.69839,1.08992,0.00422,0.89096,0.33553,0.00758,0.10376,0.20349,0.00023,0.00027,0.00145,0.35588,0.00097,0.99323,0.00072,0.00402,0.01132,10
1.16723,0.0004,0.01185,0.98,0.00017,2.37439,0.91085,5.51963,0.76409,2.24326,0.00388,0.69986,0.27983,0.01333,0.14991,0.21411,0.00028,0.00034,3e-05,0.42153,0.00141,1.0,0.00075,0.00516,0.00688,7
1.15546,0.00067,0.01058,0.80782,0.00093,2.87321,0.74557,6.3084,0.6776,1.20576,0.00585,0.82474,0.27273,0.00926,0.12198,0.25126,0.00079,0.00045,0.00101,0.39355,0.00152,0.75728,0.00054,0.00473,0.00565,9
1.161,0.00068,0.01102,0.85167,0.0008,2.26547,0.74687,8.5466,0.74296,1.53738,0.00341,0.70624,0.26019,0.01219,0.10894,0.20591,0.00059,0.00026,0.00135,0.46973,0.00198,0.74402,0.00064,0.00523,0.00618,7
1.10803,0.00074,0.01668,0.94936,0.0,3.06611,0.95,10.69751,0.95833,0.90172,0.00695,0.7851,0.212,0.0144,0.12833,0.27107,0.0,0.00024,0.0,0.68838,0.00148,0.94357,0.0006,0.00501,0.00715,8
1.16937,0.00064,0.01175,0.98,0.00024,2.28218,0.90975,7.40493,0.76144,2.84763,0.00441,0.74073,0.20363,0.0076,0.12915,0.24399,0.00073,0.00042,0.0003,0.39206,0.00235,0.95975,0.00077,0.00452,0.00441,10
1.14211,0.00089,0.01005,0.88459,0.00095,2.39075,0.68383,5.34116,0.55104,2.0873,0.00404,0.9,0.20334,0.00712,0.13841,0.24163,0.00073,0.00047,0.00152,0.57275,0.0026,0.75969,0.00075,0.00553,0.00463,10
1.1324,0.00091,0.01009,0.98,0.0,2.77146,0.95,7.04891,0.6952,1.57151,0.00705,0.8701,0.3134,0.00469,0.09377,0.28323,0.00068,0.00047,0.00131,0.40075,0.00231,0.88913,0.00058,0.00398,0.00624,9
1.14698,0.00072,0.01006,0.72021,1e-05,2.71837,0.73199,4.50165,0.79409,1.76182,0.00521,0.9,0.32161,0.00895,0.12506,0.11848,0.00085,0.0006,0.00014,0.31806,0.00255,0.64539,0.00057,0.00581,0.00652,8
1.1552,0.00069,0.01176,0.94101,0.0,2.17685,0.91283,10.03806,0.92268,1.61918,0.00556,0.7209,0.19335,0.00496,0.15046,0.33169,0.00047,0.00027,0.00163,0.45511,0.00157,1.0,0.00077,0.00568,0.00611,10
